hypothesis,subject_id,overall_recall,nonboundary_recall,boundary_recall,boundary_advantage,mean_nonboundary_drift,mean_boundary_drift,drift_boundary_contrast,mean_abs_rpe,mean_drift,rpe_recall_r
H1_smaller_boundary,32,0.6666666666666666,0.6190476190476191,1.0,0.38095238095238093,0.5247267446428572,0.6235537,0.09882695535714281,16.386742708333333,0.5370801140625,-0.0025876896158946506
H1_smaller_boundary,33,0.7395833333333334,0.7142857142857143,0.9166666666666666,0.20238095238095233,0.5253284375,0.6323316874999999,0.10700324999999988,17.46922916666667,0.53870384375,0.02360252272005703
H1_smaller_boundary,34,0.6875,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.5267020142857143,0.6157141,0.08901208571428576,16.885683333333333,0.537828525,0.03757319163995993
H1_smaller_boundary,35,0.6354166666666666,0.6071428571428571,0.8333333333333334,0.22619047619047628,0.5273532428571428,0.631567,0.10421375714285719,18.58664166666667,0.5403799625,0.13490977760301748
H1_smaller_boundary,36,0.6041666666666666,0.6190476190476191,0.5,-0.11904761904761907,0.5259907571428571,0.6287657375,0.10277498035714283,17.55841979166667,0.5388376296875,-0.01452445902158342
H1_smaller_boundary,37,0.6458333333333334,0.6190476190476191,0.8333333333333334,0.2142857142857143,0.5215363053571428,0.624934125,0.10339781964285721,14.640688541666668,0.5344610328125,0.015156804657116928
H1_smaller_boundary,38,0.65625,0.6547619047619048,0.6666666666666666,0.011904761904761862,0.5277892196428572,0.6251727125,0.09738349285714276,18.308104166666666,0.53996215625,0.05612618553712471
H1_smaller_boundary,39,0.5833333333333334,0.6190476190476191,0.3333333333333333,-0.28571428571428575,0.5237102785714286,0.6255620875,0.10185180892857137,15.961169791666668,0.5364417546875,0.0440927881510726
H1_smaller_boundary,40,0.5833333333333334,0.5476190476190477,0.8333333333333334,0.2857142857142857,0.5280472160714286,0.6227927249999999,0.09474550892857136,18.260269791666666,0.5398904046875,0.11091345950193233
H1_smaller_boundary,41,0.6145833333333334,0.5833333333333334,0.8333333333333334,0.25,0.52274305,0.6246337375,0.10189068749999997,15.319590624999998,0.5354793859375,-0.049952819163818565
H1_smaller_boundary,42,0.6354166666666666,0.6309523809523809,0.6666666666666666,0.0357142857142857,0.5249128732142857,0.6290212749999999,0.10410840178571423,16.95094895833333,0.5379264234375,0.19654701249244386
H1_smaller_boundary,43,0.6770833333333334,0.7023809523809523,0.5,-0.20238095238095233,0.5276759142857144,0.6235819374999999,0.09590602321428554,18.109444791666665,0.5396641671875,-0.0865568684071319
H1_smaller_boundary,44,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.5228781535714285,0.6239690999999999,0.10109094642857142,15.343014583333334,0.535514521875,-0.014835659633511194
H1_smaller_boundary,45,0.625,0.6071428571428571,0.75,0.1428571428571429,0.5278760160714286,0.6177619375,0.08988592142857132,17.74117083333333,0.53911175625,-0.068306040095306
H1_smaller_boundary,46,0.6770833333333334,0.6785714285714286,0.6666666666666666,-0.011904761904761973,0.5251575196428572,0.625635475,0.10047795535714288,16.811509375,0.5377172640625,-0.24255515534388852
H1_smaller_boundary,47,0.5416666666666666,0.5357142857142857,0.5833333333333334,0.04761904761904767,0.5252862785714286,0.6202247875,0.09493850892857136,16.435728125,0.5371535921875,0.19263896884031395
H1_smaller_boundary,48,0.7083333333333334,0.7142857142857143,0.6666666666666666,-0.04761904761904767,0.5302730482142858,0.6325980625,0.10232501428571417,20.375783333333334,0.543063675,0.1267305329682139
H1_smaller_boundary,49,0.5833333333333334,0.5952380952380952,0.5,-0.09523809523809523,0.5231392232142857,0.6310473625,0.1079081392857143,16.085160416666668,0.536627740625,-0.04559418530440726
H1_smaller_boundary,50,0.6354166666666666,0.6428571428571429,0.5833333333333334,-0.059523809523809534,0.5225396785714286,0.6197606375,0.09722095892857141,14.794865625,0.5346922984375,-0.11555874305102792
H1_smaller_boundary,51,0.5416666666666666,0.5119047619047619,0.75,0.23809523809523814,0.5247711696428572,0.6210743375,0.09630316785714277,16.20604375,0.536809065625,0.008823540165190784
H1_smaller_boundary,52,0.7083333333333334,0.6785714285714286,0.9166666666666666,0.23809523809523803,0.5258288,0.638131525,0.11230272500000005,18.24442708333333,0.539866640625,0.16624774296915
H1_smaller_boundary,53,0.6354166666666666,0.6190476190476191,0.75,0.13095238095238093,0.5232559232142857,0.6222789125,0.09902298928571429,15.422531249999999,0.535633796875,0.10263235583198974
H1_smaller_boundary,54,0.6145833333333334,0.6190476190476191,0.5833333333333334,-0.0357142857142857,0.5264884946428572,0.629135975,0.10264748035714277,17.879619791666666,0.5393194296875,0.12314174112138077
H1_smaller_boundary,55,0.625,0.6309523809523809,0.5833333333333334,-0.04761904761904756,0.5260550821428571,0.632802525,0.10674744285714288,17.932341666666666,0.5393985124999999,0.079129481201144
H1_smaller_boundary,56,0.5625,0.5595238095238095,0.5833333333333334,0.023809523809523836,0.5273366339285714,0.6218641125,0.09452747857142851,17.768379166666666,0.53915256875,-0.06257681234769723
H1_smaller_boundary,57,0.625,0.6071428571428571,0.75,0.1428571428571429,0.5213282714285714,0.6281745875,0.10684631607142858,14.789373958333334,0.5346840609375,-0.13210884449558635
H1_smaller_boundary,58,0.6354166666666666,0.6309523809523809,0.6666666666666666,0.0357142857142857,0.5255172732142858,0.6232760625,0.09775878928571424,16.824747916666666,0.537737121875,0.17281141207304995
H1_smaller_boundary,59,0.65625,0.6428571428571429,0.75,0.1071428571428571,0.5245555696428571,0.627618225,0.10306265535714287,16.625601041666666,0.5374384015625,0.19361065385251697
H1_smaller_boundary,60,0.625,0.6071428571428571,0.75,0.1428571428571429,0.5258473803571428,0.6208360875,0.09498870714285712,16.813979166666666,0.53772096875,0.03961604882466126
H1_smaller_boundary,61,0.6041666666666666,0.5714285714285714,0.8333333333333334,0.261904761904762,0.5275531178571429,0.6261316874999999,0.09857856964285705,18.250292708333333,0.5398754390625,0.0919287327200796
H1_smaller_boundary,62,0.53125,0.5119047619047619,0.6666666666666666,0.15476190476190477,0.5242652964285714,0.628858375,0.10459307857142852,16.559620833333334,0.53733943125,0.10011385070195127
H1_smaller_boundary,63,0.6354166666666666,0.6071428571428571,0.8333333333333334,0.22619047619047628,0.5255195142857143,0.6175318,0.09201228571428566,16.347366666666666,0.53702105,0.01729474083717649
H1_smaller_boundary,64,0.6458333333333334,0.6666666666666666,0.5,-0.16666666666666663,0.5245311660714286,0.623884875,0.09935370892857143,16.300253125,0.5369503796875,0.07675364022001913
H1_smaller_boundary,65,0.65625,0.6428571428571429,0.75,0.1071428571428571,0.5226693767857143,0.625990025,0.10332064821428566,15.389638541666665,0.5355844578125,-0.054999435683748904
H1_smaller_boundary,66,0.6666666666666666,0.6785714285714286,0.5833333333333334,-0.09523809523809523,0.5256859517857142,0.6165725,0.09088654821428577,16.364513541666668,0.5370467703125,-0.005546241399495823
H1_smaller_boundary,67,0.625,0.6190476190476191,0.6666666666666666,0.04761904761904756,0.5255110625,0.62637685,0.10086578749999997,17.079523958333333,0.5381192859375,-0.21968145136980868
H1_smaller_boundary,68,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.5236077857142858,0.6334745375,0.10986675178571426,16.560753125,0.5373411296875,-0.0011765071148120841
H1_smaller_boundary,69,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.525231025,0.6301881874999999,0.10495716249999998,17.233780208333332,0.5383506703125,-0.09296199774781183
H1_smaller_boundary,70,0.5729166666666666,0.5357142857142857,0.8333333333333334,0.29761904761904767,0.5271247464285714,0.6298220625,0.10269731607142851,18.307940625,0.5399619109375,-0.06442479050503432
H1_smaller_boundary,71,0.7604166666666666,0.75,0.8333333333333334,0.08333333333333337,0.5247683357142857,0.6149607,0.09019236428571431,15.694920833333333,0.53604238125,-0.11270140028700361
